survey_question,variable1,variable2,variable3,variable4,variable5,mc_multiple,text_response,recoded1,recoded2,recoded3,recoded4,recoded5,recoded6,recoded7,recoded8,recoded9,recoded10,recoded11,recoded12,recoded13,recoded14,recoded15,recoded16,recoded17,recoded18,recoded19,recoded20,recoded21,recoded22
What is your professional title or role?,title,,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,
How long have you held your current professional title or role? ,duration,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
Where is your lab or research group located? University or Institution: _____ Department or Program: _____ Country: ____,location_university,location_department,location_country,,,no,no,,,,,,,,,,,,,,,,,,,,,,
How big is your lab? Research assistants: _____ Graduate students: _____ Post-docs: _____ Part time staff: _____ Full time staff: _____,lab_size_ra,lab_size_gs,lab_size_pd,lab_size_staff_part,lab_size_staff_full,no,no,,,,,,,,,,,,,,,,,,,,,,
What is your primary research area?,research_area,,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,
Where do you do your scanning?,scanning_location,,,,,yes,yes,scanning_location_research_own,scanning_location_research_other,scanning_location_medical_own,scanning_location_medical_other,scanning_location_multiple,scanning_location_reuse,scanning_location_other,,,,,,,,,,,,,,,
Which of the following best describes how you analyze and store your data?,computation,,,,,yes,yes,computation_own_all,computation_own_analysis,computation_workstation,computation_cluster,computation_other,,,,,,,,,,,,,,,,,
Who funds your research or work,funder,,,,,yes,no,funder_nih,funder_nsf,funder_dod,funder_startup,funder_institutional,funder_foundation,funder_international,,,,,,,,,,,,,,,
What is your role on these grants?,grant_role,,,,,yes,yes,grant_role_PI,grant_role_CI,grant_role_faculty,grant_role_consultant,grant_role_postdoc,grant_role_gradstudent,grant_role_undergrad,grant_role_other,,,,,,,,,,,,,,
"Do you maintain documentation regarding how data is to be collected, organized, and secured over the course of a project?",dmp,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
Where did you receive your training in collecting and analyzing neuroimaging data?,training,,,,,yes,yes,training_course_own,training_course_other,training_lab,training_department,training_self,training_other,training_none,,,,,,,,,,,,,,,
"Does your institution provide any assistance, training, or consulting services on topics related to research data management (e.g. data storage, organization, and security)?",institution_support_rdm,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
"Does your institution provide assistance, training, or consulting services on topics related to scholarly publishing and/or data sharing (e.g. public access compliance, digital preservation, and data sharing mandates)?",institution_support_scholcomm,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
"Does your institution provide any technical infrastructure to foster research data management and/or data sharing (e.g. tools for file sharing, storage, collaboration provided by the library/ITS)?",institution_support_it,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
"On a scale of 1-5, how would you rate the overall maturity of your data management practices during the data collection phase of a project.",rating_indiv_datacoll,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
"On a scale of 1-5, how would you rate the data management practices for the field of neuroimaging as a whole during the data collection phase of a project.",rating_field_datacoll,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
What type(s) of MRI data do you collect?,mri_data,,,,,yes,yes,mri_data_anatomical,mri_data_task,mri_data_resting,mri_data_diffusion,mri_data_fieldmap,mri_data_other,,,,,,,,,,,,,,,,
