title,start,end,URL,categories,date,formatted_date
Submitting Your Thesis or Dissertation to CMU Libraries,12:00 PM,01:00 PM,https://cmu.libcal.com/event/11622573,"Open Science, Writing and Publishing",2024-01-24,"January 24, 2024"
Open Science Framework (OSF) for Beginners,01:00 PM,02:00 PM,https://cmu.libcal.com/event/11721905,Open Science,2024-01-26,"January 26, 2024"
Data Carpentry: Introduction to Python,09:00 AM,12:00 PM,https://cmu.libcal.com/event/11732479,"Open Science, Working With Data",2024-01-29,"January 29, 2024"
Data Carpentry: Introduction to Python,09:00 AM,12:00 PM,https://cmu.libcal.com/event/11732480,"Open Science, Working With Data",2024-01-30,"January 30, 2024"
Introduction to R Part 1: Getting started with R and RStudio,01:00 PM,02:30 PM,https://cmu.libcal.com/event/11677891,"Open Science, Working With Data",2024-01-30,"January 30, 2024"
Data Carpentry: Introduction to Python,09:00 AM,12:00 PM,https://cmu.libcal.com/event/11732481,"Open Science, Working With Data",2024-01-31,"January 31, 2024"
Introduction to Python for Data Science: Introduction to Basic Programming with Data,01:00 PM,03:00 PM,https://cmu.libcal.com/event/11690015,"Open Science, Open Science, Working With Data",2024-01-31,"January 31, 2024"
Building your Programming Tool Box: Command Line Crash Course for Beginners,01:00 PM,03:00 PM,https://cmu.libcal.com/event/11722733,"Open Science, Working With Data",2024-02-05,"February 05, 2024"
Introduction to R Part 2: Working with data in R,01:00 PM,02:30 PM,https://cmu.libcal.com/event/11677895,"Open Science, Working With Data",2024-02-06,"February 06, 2024"
Introduction to Python for Data Science: Plotting and Analyzing Tabular Datasets,01:00 PM,03:00 PM,https://cmu.libcal.com/event/11720589,"Open Science, Open Science, Working With Data",2024-02-07,"February 07, 2024"
Building Your Programming Toolbox: Version Control with Git,01:00 PM,03:00 PM,https://cmu.libcal.com/event/11720611,"Open Science, Open Science, Working With Data",2024-02-12,"February 12, 2024"
Introduction to Electronic Lab Notebooks,10:00 AM,11:00 AM,https://cmu.libcal.com/event/11622353,"Open Science, Working With Data",2024-02-13,"February 13, 2024"
Introduction to R Part 1: Getting started with R and RStudio,09:00 AM,10:30 AM,https://cmu.libcal.com/event/11676663,"Open Science, Working With Data",2024-02-14,"February 14, 2024"
Introduction to Python for Data Science: Analyzing Data with Logic and Iteration,01:00 PM,03:00 PM,https://cmu.libcal.com/event/11720619,"Open Science, Open Science, Working With Data",2024-02-14,"February 14, 2024"
Cleaning Untidy Data with OpenRefine,12:00 PM,01:30 PM,https://cmu.libcal.com/event/11676509,"Open Science, Working With Data",2024-02-15,"February 15, 2024"
Building Your Programming Toolbox: Collaborating with GitHub,01:00 PM,03:00 PM,https://cmu.libcal.com/event/11720634,"Open Science, Open Science, Working With Data",2024-02-19,"February 19, 2024"
Introduction to R Part 2: Working with data in R,09:00 AM,10:30 AM,https://cmu.libcal.com/event/11676685,"Open Science, Working With Data",2024-02-21,"February 21, 2024"
Building Your Programming Toolbox: Creating Websites and Portfolios with GitPages,01:00 PM,03:00 PM,https://cmu.libcal.com/event/11720699,"Open Science, Open Science, Working With Data, Writing and Publishing",2024-02-26,"February 26, 2024"
Easing the transition from MATLAB to Python with AI,01:00 PM,03:00 PM,https://cmu.libcal.com/event/11732026,Open Science,2024-02-27,"February 27, 2024"
Encapsulating Reproducible Computational Research with Code Ocean,10:00 AM,12:00 PM,https://cmu.libcal.com/event/11720891,"Open Science, Open Science, Working With Data, Writing and Publishing",2024-02-28,"February 28, 2024"
Command Line Crash Course for Beginners,01:00 PM,03:00 PM,https://cmu.libcal.com/event/11722048,"Open Science, Working With Data",2024-03-11,"March 11, 2024"
"Data Exploration with Python and SQL in Redivis, Part 1",11:00 AM,12:30 PM,https://cmu.libcal.com/event/11740185,"Open Science, Working With Data",2024-03-13,"March 13, 2024"
"Data Exploration with Python and SQL in Redivis, Part 2",11:00 AM,12:30 PM,https://cmu.libcal.com/event/11740329,"Open Science, Working With Data",2024-03-20,"March 20, 2024"
Submitting Your Thesis or Dissertation to CMU Libraries,12:00 PM,01:00 PM,https://cmu.libcal.com/event/11622574,"Open Science, Writing and Publishing",2024-03-20,"March 20, 2024"
Open Science Framework (OSF) for Beginners,01:00 PM,02:00 PM,https://cmu.libcal.com/event/11722088,Open Science,2024-03-25,"March 25, 2024"
Regex 101: Fundamentals for Beginners,01:00 PM,02:00 PM,https://cmu.libcal.com/event/11722604,"Open Science, Working With Data",2024-04-01,"April 01, 2024"
Introduction to Python for Data Science: Introduction to Basic Programming with Data,09:00 AM,11:00 AM,https://cmu.libcal.com/event/11720957,"Open Science, Working With Data",2024-04-09,"April 09, 2024"
Making the Most with Jupyter Lab and Notebooks,11:00 AM,01:00 PM,https://cmu.libcal.com/event/11722137,"Open Science, Working With Data",2024-04-10,"April 10, 2024"
Introduction to Python for Data Science: Plotting and Analyzing Tabular Datasets,09:00 AM,11:00 AM,https://cmu.libcal.com/event/11720984,"Open Science, Working With Data",2024-04-16,"April 16, 2024"
Easing the transition from MATLAB to Python with AI,01:00 PM,03:00 PM,https://cmu.libcal.com/event/11732235,Open Science,2024-04-17,"April 17, 2024"
Python for Harvesting Data on the Web (Intermediate-Advanced),11:00 AM,01:00 PM,https://cmu.libcal.com/event/11722162,"Open Science, Working With Data",2024-04-19,"April 19, 2024"
Introduction to Python for Data Science: Analyzing Data with Logic and Iteration,09:00 AM,11:00 AM,https://cmu.libcal.com/event/11721033,"Open Science, Working With Data",2024-04-23,"April 23, 2024"
